M,vorname,geschlecht,position
8,Janosch,m,1
8,Joshua,m,1
8,Julius,m,1
8,Luis,m,1
8,Mark,m,1
8,Maxim,m,1
8,Neo,m,1
8,Oliver,m,1
8,Otto,m,1
8,Rayan,m,1
8,Richard,m,1
8,Robin,m,1
8,Luisa,w,2
8,Marlene,w,2
8,Rosalie,w,2
8,Friedrich,m,2
8,Gabriel,m,2
8,Noah,m,2
7,Ada,w,1
7,Adelina,w,1
7,Edda,w,1
7,Elise,w,1
7,Henriette,w,1
7,Isabella,w,1
7,Lilith,w,1
7,Linda,w,1
7,Mariella,w,1
7,Nina,w,1
7,Ronja,w,1
7,Selma,w,1
7,Tessa,w,1
7,August,m,1
7,Charlie,m,1
7,Edgar,m,1
7,Gabriel,m,1
7,Kilian,m,1
7,Lasse,m,1
7,Levin,m,1
7,Lino,m,1
7,Maleo,m,1
7,Mohammad,m,1
7,Nelio,m,1
7,Nino,m,1
7,Piet,m,1
7,Aurelia,w,2
7,Arthur,m,2
7,August,m,2
7,Daniel,m,2
6,Carlotta,w,1
6,Helene,w,1
6,Hermine,w,1
6,Kaya,w,1
6,Laura,w,1
6,Lene,w,1
6,Luana,w,1
6,Mathea,w,1
6,Milana,w,1
6,Miriam,w,1
6,Yara,w,1
6,Yuna,w,1
6,Adrian,m,1
6,Benno,m,1
6,Erwin,m,1
6,Frederik,m,1
6,Hannes,m,1
6,Johannes,m,1
6,Justus,m,1
6,Malik,m,1
6,Mats,m,1
6,Matti,m,1
6,Mio,m,1
6,Omar,m,1
6,Pepe,m,1
6,Raphael,m,1
6,Simon,m,1
6,Tim,m,1
6,Wilhelm,m,1
6,Younes,m,1
6,Carlotta,w,2
6,Edith,w,2
6,Elise,w,2
6,Frieda,w,2
6,Ida,w,2
6,Jane,w,2
6,Katharina,w,2
6,Lilly,w,2
6,Louise,w,2
6,Vy,w,2
6,Finn,m,2
6,Fritz,m,2
6,Georg,m,2
6,Jakob,m,2
6,Levi,m,2
6,Ludwig,m,2
6,Maxim,m,2
6,Oliver,m,2
6,Paul,m,2
6,Richard,m,2
5,Amy,w,1
5,Anastasia,w,1
5,Anouk,w,1
5,Aylin,w,1
5,Carla,w,1
5,Diana,w,1
5,Eleni,w,1
5,Eliana,w,1
5,Elisabeth,w,1
5,Hedda,w,1
5,Karlotta,w,1
5,Layan,w,1
5,Leonora,w,1
5,Lily,w,1
5,Lucia,w,1
5,Mariam,w,1
5,Mathilde,w,1
5,Melina,w,1
5,Melissa,w,1
5,Stella,w,1
5,Talia,w,1
5,Tamara,w,1
5,Valeria,w,1
5,Victoria,w,1
5,Ylva,w,1
5,Zoe,w,1
5,Ahmad,m,1
5,Amin,m,1
5,Aron,m,1
5,Colin,m,1
5,Elio,m,1
5,Enno,m,1
5,Fabian,m,1
5,Fiete,m,1
5,Florian,m,1
5,Jannis,m,1
5,Jason,m,1
5,Josef,m,1
5,Leander,m,1
5,Lian,m,1
5,Luke,m,1
5,Mads,m,1
5,Manuel,m,1
5,Marlo,m,1
5,Marlon,m,1
5,Michael,m,1
5,Mohamed,m,1
5,Muhammad,m,1
5,Nils,m,1
5,Rafael,m,1
5,Thiago,m,1
5,Tilo,m,1
5,Titus,m,1
5,Tom,m,1
5,Dorothea,w,2
5,Elisa,w,2
5,Hope,w,2
5,Lotta,w,2
5,Lotte,w,2
5,Mathilda,w,2
5,Pauline,w,2
5,Victoria,w,2
5,Anton,m,2
5,Benjamin,m,2
5,Bo,m,2
5,Emilio,m,2
5,Felix,m,2
5,Gustav,m,2
5,Hans,m,2
5,Joachim,m,2
5,Joel,m,2
5,Johannes,m,2
5,Jonah,m,2
5,Leon,m,2
5,Matteo,m,2
5,Max,m,2
5,Minh,m,2
5,Noel,m,2
5,Stefan,m,2
5,Theo,m,2
4,Adele,w,1
4,Alea,w,1
4,Alice,w,1
4,Amal,w,1
4,Amanda,w,1
4,Amara,w,1
4,Amaya,w,1
4,Arya,w,1
4,Ava,w,1
4,Bella,w,1
4,Cleo,w,1
4,Elaf,w,1
4,Evelyn,w,1
4,Florentine,w,1
4,Hedi,w,1
4,Heidi,w,1
4,Isabell,w,1
4,Jasmin,w,1
4,Jonna,w,1
4,Kim,w,1
4,Kleo,w,1
4,Lana,w,1
4,Liliana,w,1
4,Lilli,w,1
4,Lola,w,1
4,Lou,w,1
4,Lucie,w,1
4,Lucy,w,1
4,Malea,w,1
4,Mina,w,1
4,Mona,w,1
4,Salome,w,1
4,Sila,w,1
4,Theresa,w,1
4,Valerie,w,1
4,Ahmed,m,1
4,Ari,m,1
4,Constantin,m,1
4,Diego,m,1
4,Dominik,m,1
4,Emilian,m,1
4,Enzo,m,1
4,Ferdinand,m,1
4,Gregor,m,1
4,Hamza,m,1
4,Hans,m,1
4,Ilyas,m,1
4,Ivar,m,1
4,Jacob,m,1
4,Jan,m,1
4,Jannik,m,1
4,Jari,m,1
4,Julian,m,1
4,Juri,m,1
4,Karim,m,1
4,Kian,m,1
4,Leano,m,1
4,Leonardo,m,1
4,Lucas,m,1
4,Ludwig,m,1
4,Mailo,m,1
4,Mattis,m,1
4,Nathan,m,1
4,Nico,m,1
4,Niklas,m,1
4,Oscar,m,1
4,Philipp,m,1
4,Samir,m,1
4,Youssef,m,1
4,Alexandra,w,2
4,Amalia,w,2
4,Bella,w,2
4,Clara,w,2
4,Elaine,w,2
4,Elea,w,2
4,Ella,w,2
4,Emma,w,2
4,Florentine,w,2
4,Jasmin,w,2
4,Julie,w,2
4,Kathrin,w,2
4,Lilith,w,2
4,Magdalena,w,2
4,Malea,w,2
4,Malia,w,2
4,Malou,w,2
4,Margarete,w,2
4,May,w,2
4,Mia,w,2
4,Rahel,w,2
4,Rose,w,2
4,Ruth,w,2
4,Sophia,w,2
4,Thea,w,2
4,Andreas,m,2
4,André,m,2
4,Christian,m,2
4,Elio,m,2
4,Emanuel,m,2
4,Franz,m,2
4,Helmut,m,2
4,Jonathan,m,2
4,Kurt,m,2
4,Leander,m,2
4,Leopold,m,2
4,Liam,m,2
4,Lou,m,2
4,Louis,m,2
4,Luca,m,2
4,Martin,m,2
4,Patrick,m,2
4,Anh,w,3
3,Alia,w,1
3,Anni,w,1
3,Aria,w,1
3,Ariana,w,1
3,Aurora,w,1
3,Eileen,w,1
3,Elli,w,1
3,Ellie,w,1
3,Eloise,w,1
3,Evin,w,1
3,Gerda,w,1
3,Hailey,w,1
3,Hazel,w,1
3,Isabelle,w,1
3,Karolina,w,1
3,Katharina,w,1
3,Kiara,w,1
3,Kira,w,1
3,Käthe,w,1
3,Lilia,w,1
3,Linnea,w,1
3,Lore,w,1
3,Louisa,w,1
3,Majvi,w,1
3,Margarethe,w,1
3,Mascha,w,1
3,Mirabella,w,1
3,Nada,w,1
3,Nela,w,1
3,Nila,w,1
3,Pina,w,1
3,Raya,w,1
3,Rose,w,1
3,Runa,w,1
3,Samira,w,1
3,Sandy,w,1
3,Smilla,w,1
3,Sofie,w,1
3,Tala,w,1
3,Viktoria,w,1
3,Wanda,w,1
3,Wilhelmine,w,1
3,Xenia,w,1
3,Zainab,w,1
3,Aiden,m,1
3,Alessio,m,1
3,Alwin,m,1
3,Amar,m,1
3,Anuk,m,1
3,Arvid,m,1
3,Ayan,m,1
3,Baran,m,1
3,Benedikt,m,1
3,Bilal,m,1
3,Bjarne,m,1
3,Björn,m,1
3,Can,m,1
3,Carl,m,1
3,Caspar,m,1
3,Charly,m,1
3,Christian,m,1
3,Clemens,m,1
3,Cosmo,m,1
3,Damian,m,1
3,Eddie,m,1
3,Eddy,m,1
3,Ezra,m,1
3,Fabio,m,1
3,Felipe,m,1
3,Fjonn,m,1
3,Frederick,m,1
3,Fridolin,m,1
3,Hendrik,m,1
3,Ian,m,1
3,Issa,m,1
3,Jano,m,1
3,Jaron,m,1
3,Jonte,m,1
3,Joris,m,1
3,Junis,m,1
3,Karlo,m,1
3,Keno,m,1
3,Khalid,m,1
3,Kolja,m,1
3,Kuno,m,1
3,Laurenz,m,1
3,Laurin,m,1
3,Lennard,m,1
3,Lennox,m,1
3,Lenny,m,1
3,Lewis,m,1
3,Liano,m,1
3,Lion,m,1
3,Lionel,m,1
3,Luan,m,1
3,Luka,m,1
3,Magnus,m,1
3,Marek,m,1
3,Marley,m,1
3,Mattheo,m,1
3,Michel,m,1
3,Miro,m,1
3,Niclas,m,1
3,Noel,m,1
3,Otis,m,1
3,Robert,m,1
3,Samu,m,1
3,Sanad,m,1
3,Taim,m,1
3,Thomas,m,1
3,Thore,m,1
3,Timo,m,1
3,Valerian,m,1
3,Viktor,m,1
3,Vito,m,1
3,Willem,m,1
3,William,m,1
3,Yasin,m,1
3,Younis,m,1
3,Yusef,m,1
3,Zaid,m,1
3,Zain,m,1
3,Zayn,m,1
3,Adele,w,2
3,Amelie,w,2
3,Antonia,w,2
3,Aurora,w,2
3,Elizabeth,w,2
3,Ellen,w,2
3,Erika,w,2
3,Eva,w,2
3,Hanna,w,2
3,Isabella,w,2
3,Josefine,w,2
3,Josephine,w,2
3,Karlotta,w,2
3,Kaur,w,2
3,Lina,w,2
3,Linn,w,2
3,Liv,w,2
3,Louisa,w,2
3,Lucia,w,2
3,Mai,w,2
3,Malu,w,2
3,Martha,w,2
3,Mathilde,w,2
3,Matilda,w,2
3,Monika,w,2
3,Olivia,w,2
3,Rosa,w,2
3,Salome,w,2
3,Sofia,w,2
3,Adam,m,2
3,Adrian,m,2
3,Albert,m,2
3,An,m,2
3,Arvid,m,2
3,Bela,m,2
3,Ben,m,2
3,Bernd,m,2
3,Carl,m,2
3,Dieter,m,2
3,Eduard,m,2
3,Elia,m,2
3,Elliot,m,2
3,Emilian,m,2
3,Frederik,m,2
3,Günter,m,2
3,Henri,m,2
3,Henry,m,2
3,Horst,m,2
3,Hugo,m,2
3,James,m,2
3,Jan,m,2
3,Jano,m,2
3,Julius,m,2
3,Konrad,m,2
3,Lasse,m,2
3,Leo,m,2
3,Luis,m,2
3,Magnus,m,2
3,Manfred,m,2
3,Mario,m,2
3,Mateo,m,2
3,Ole,m,2
3,Philipp,m,2
3,Ragnar,m,2
3,Robert,m,2
3,Samuel,m,2
3,Sebastian,m,2
3,Thomas,m,2
3,Tobias,m,2
3,Valentino,m,2
3,Wilhelm,m,2
3,Wolfgang,m,2
3,Maria,w,3
2,Aaliyah,w,1
2,Aisha,w,1
2,Alba,w,1
2,Alessia,w,1
2,Alexandra,w,1
2,Alisa,w,1
2,Amilia,w,1
2,Annabelle,w,1
2,Annelie,w,1
2,Ariane,w,1
2,Arina,w,1
2,Asal,w,1
2,Asena,w,1
2,Athena,w,1
2,Bonnie,w,1
2,Carolina,w,1
2,Celina,w,1
2,Coco,w,1
2,Daria,w,1
2,Delia,w,1
2,Edith,w,1
2,Elana,w,1
2,Eleanor,w,1
2,Eleonora,w,1
2,Eleyna,w,1
2,Elia,w,1
2,Elin,w,1
2,Elly,w,1
2,Elsie,w,1
2,Enna,w,1
2,Enya,w,1
2,Erva,w,1
2,Felina,w,1
2,Fenja,w,1
2,Franka,w,1
2,Freda,w,1
2,Giulia,w,1
2,Greta,w,1
2,Halima,w,1
2,Hanin,w,1
2,Hanni,w,1
2,Hayley,w,1
2,Hilde,w,1
2,Irma,w,1
2,Isra,w,1
2,Ivana,w,1
2,Jana,w,1
2,Janna,w,1
2,Janne,w,1
2,Jara,w,1
2,Jasmina,w,1
2,Jasmine,w,1
2,Jella,w,1
2,Joleen,w,1
2,Josephine,w,1
2,Judith,w,1
2,Juliana,w,1
2,Juliane,w,1
2,Juni,w,1
2,Junis,w,1
2,Karla,w,1
2,Khadija,w,1
2,Larisa,w,1
2,Leah,w,1
2,Leana,w,1
2,Leen,w,1
2,Lenia,w,1
2,Leony,w,1
2,Liana,w,1
2,Lilian,w,1
2,Lillian,w,1
2,Lima,w,1
2,Liviana,w,1
2,Liya,w,1
2,Loreley,w,1
2,Louise,w,1
2,Lovis,w,1
2,Lua,w,1
2,Lucinda,w,1
2,Lynn,w,1
2,Magda,w,1
2,Manisa,w,1
2,Margarete,w,1
2,Mari,w,1
2,Marika,w,1
2,Marta,w,1
2,Maryam,w,1
2,Masa,w,1
2,Massa,w,1
2,Medina,w,1
2,Melia,w,1
2,Melodie,w,1
2,Melody,w,1
2,Michelle,w,1
2,Milea,w,1
2,Milla,w,1
2,Millie,w,1
2,Mirha,w,1
2,Nami,w,1
2,Nathalie,w,1
2,Neele,w,1
2,Ngọc,w,1
2,Nilay,w,1
2,Noura,w,1
2,Ophelia,w,1
2,Philine,w,1
2,Polina,w,1
2,Princess,w,1
2,Priya,w,1
2,Rahel,w,1
2,Ria,w,1
2,Rita,w,1
2,Romy,w,1
2,Rubi,w,1
2,Salma,w,1
2,Sanna,w,1
2,Sefora,w,1
2,Skadi,w,1
2,Solea,w,1
2,Svea,w,1
2,Tabea,w,1
2,Taia,w,1
2,Tamina,w,1
2,Tara,w,1
2,Tiana,w,1
2,Trieu,w,1
2,Tulin,w,1
2,Vivien,w,1
2,Yasmina,w,1
2,Ylvi,w,1
2,Zeinab,w,1
2,Zoey,w,1
2,Zora,w,1
2,Zoë,w,1
2,Łucja,w,1
2,Abdulkader,m,1
2,Adem,m,1
2,Adrián,m,1
2,Alan,m,1
2,Alex,m,1
2,Alvar,m,1
2,Alvin,m,1
2,Ammar,m,1
2,Anas,m,1
2,Anthony,m,1
2,Aram,m,1
2,Aran,m,1
2,Arlo,m,1
2,Armin,m,1
2,Artur,m,1
2,Artus,m,1
2,Aslan,m,1
2,Augustin,m,1
2,Aurelio,m,1
2,Avi,m,1
2,Ayden,m,1
2,Baldur,m,1
2,Benett,m,1
2,Bennet,m,1
2,Boris,m,1
2,Béla,m,1
2,Casey,m,1
2,Charles,m,1
2,Conan,m,1
2,Damir,m,1
2,Daniil,m,1
2,Dante,m,1
2,Darian,m,1
2,Darius,m,1
2,Dean,m,1
2,Denis,m,1
2,Egon,m,1
2,Elia,m,1
2,Elijah,m,1
2,Elmo,m,1
2,Elyas,m,1
2,Emanuel,m,1
2,Enes,m,1
2,Eric,m,1
2,Farin,m,1
2,Flynn,m,1
2,Frank,m,1
2,Georg,m,1
2,Hanno,m,1
2,Haroun,m,1
2,Hasan,m,1
2,Heinrich,m,1
2,Idris,m,1
2,Ivan,m,1
2,James,m,1
2,Jannes,m,1
2,Jarik,m,1
2,Joel,m,1
2,Johan,m,1
2,John,m,1
2,Jonatan,m,1
2,Josua,m,1
2,Kalle,m,1
2,Karam,m,1
2,Kenai,m,1
2,Kenan,m,1
2,Kenny,m,1
2,Kerem,m,1
2,Klaas,m,1
2,Koa,m,1
2,Kylian,m,1
2,Laith,m,1
2,Leevi,m,1
2,Len,m,1
2,Lennart,m,1
2,Lev,m,1
2,Lias,m,1
2,Loki,m,1
2,Lui,m,1
2,Mael,m,1
2,Mahmoud,m,1
2,Majd,m,1
2,Martin,m,1
2,Mason,m,1
2,Mateo,m,1
2,Mathis,m,1
2,Matias,m,1
2,Matthias,m,1
2,Maël,m,1
2,Mikel,m,1
2,Milán,m,1
2,Mino,m,1
2,Mirac,m,1
2,Miran,m,1
2,Miron,m,1
2,Morris,m,1
2,Musa,m,1
2,Nathanael,m,1
2,Nevio,m,1
2,Nicolas,m,1
2,Nilo,m,1
2,Nolan,m,1
2,Noé,m,1
2,Odin,m,1
2,Osaid,m,1
2,Phileas,m,1
2,Philip,m,1
2,Pino,m,1
2,Quentin,m,1
2,Ravi,m,1
2,Rio,m,1
2,Rocco,m,1
2,Romeo,m,1
2,Rufus,m,1
2,Rune,m,1
2,Sebastian,m,1
2,Stefan,m,1
2,Sultan,m,1
2,Tamino,m,1
2,Tammo,m,1
2,Tamo,m,1
2,Thorin,m,1
2,Tian,m,1
2,Tobias,m,1
2,Tony,m,1
2,Tristan,m,1
2,Umut,m,1
2,Viggo,m,1
2,Vitus,m,1
2,Walter,m,1
2,Willy,m,1
2,Wim,m,1
2,Yaron,m,1
2,Yazan,m,1
2,Yori,m,1
2,Ömer,m,1
2,Adelheid,w,2
2,Alice,w,2
2,Andreea,w,2
2,Anh,w,2
2,Anna,w,2
2,Anneliese,w,2
2,Anni,w,2
2,Anouk,w,2
2,Artemis,w,2
2,Ayla,w,2
2,Bao,w,2
2,Bo,w,2
2,Carla,w,2
2,Celine,w,2
2,Chiamaka,w,2
2,Dmitrìvna,w,2
2,Eleanor,w,2
2,Elin,w,2
2,Elina,w,2
2,Eloise,w,2
2,Else,w,2
2,Emily,w,2
2,Faye,w,2
2,Felicitas,w,2
2,Filippa,w,2
2,Flora,w,2
2,Freya,w,2
2,Fritzi,w,2
2,Hazel,w,2
2,Heidi,w,2
2,Helen,w,2
2,Helga,w,2
2,Henriette,w,2
2,Hermine,w,2
2,Ingrid,w,2
2,Jade,w,2
2,Janne,w,2
2,Joleen,w,2
2,Jolie,w,2
2,Juli,w,2
2,Juliane,w,2
2,June,w,2
2,Kaja,w,2
2,Karolina,w,2
2,Kathleen,w,2
2,Kaya,w,2
2,Käthe,w,2
2,Lea,w,2
2,Lee,w,2
2,Leni,w,2
2,Leonie,w,2
2,Lieselotte,w,2
2,Lily,w,2
2,Luna,w,2
2,Lê,w,2
2,Malaika,w,2
2,Malina,w,2
2,Marlen,w,2
2,Mathea,w,2
2,Mavie,w,2
2,Melina,w,2
2,Michelle,w,2
2,Milena,w,2
2,Minna,w,2
2,Miriam,w,2
2,My,w,2
2,Noemi,w,2
2,Olegìvna,w,2
2,Petra,w,2
2,Phuong,w,2
2,Quinn,w,2
2,Renesmee,w,2
2,Sabine,w,2
2,Selma,w,2
2,Serhiivna,w,2
2,Sibel,w,2
2,Soleil,w,2
2,Soley,w,2
2,Sue,w,2
2,Tjorven,w,2
2,Wilhelmine,w,2
2,Willow,w,2
2,Yael,w,2
2,Zora,w,2
2,Alejandro,m,2
2,Alois,m,2
2,Andrìjovič,m,2
2,Ares,m,2
2,Benedikt,m,2
2,Bruno,m,2
2,Casimir,m,2
2,Christoph,m,2
2,Damian,m,2
2,Dmitrovič,m,2
2,Dominik,m,2
2,Elyas,m,2
2,Erich,m,2
2,Fabian,m,2
2,Falk,m,2
2,Ferdinand,m,2
2,Florian,m,2
2,Fridolin,m,2
2,Gia,m,2
2,Hannes,m,2
2,Harry,m,2
2,Herbert,m,2
2,Ioan,m,2
2,Janosch,m,2
2,Jona,m,2
2,Jonte,m,2
2,Josef,m,2
2,Josue,m,2
2,Julian,m,2
2,Jörg,m,2
2,Kasimir,m,2
2,Konstantin,m,2
2,Laurin,m,2
2,Leano,m,2
2,Leonas,m,2
2,Levin,m,2
2,Linus,m,2
2,Lion,m,2
2,Long,m,2
2,Maddox,m,2
2,Manuel,m,2
2,Marcel,m,2
2,Marcus,m,2
2,Marlo,m,2
2,Matheo,m,2
2,Mattheo,m,2
2,Michel,m,2
2,Mike,m,2
2,Mikkel,m,2
2,Milo,m,2
2,Mohamed,m,2
2,Moritz,m,2
2,Nael,m,2
2,Nam,m,2
2,Neo,m,2
2,Oleksandrovych,m,2
2,Oskar,m,2
2,Ove,m,2
2,Quân,m,2
2,Raik,m,2
2,Raphael,m,2
2,Rasmus,m,2
2,Robin,m,2
2,Rocco,m,2
2,Roland,m,2
2,Rufus,m,2
2,Rune,m,2
2,Sam,m,2
2,Silas,m,2
2,Singh,m,2
2,Sören,m,2
2,Till,m,2
2,Tom,m,2
2,Tùng,m,2
2,Ulrich,m,2
2,Uwe,m,2
2,Viktor,m,2
2,Werner,m,2
2,Willem,m,2
2,Willi,m,2
2,Wladimir,m,2
2,Amalia,w,3
2,Christiane,w,3
2,Daniela,w,3
2,Ella,w,3
2,Emilie,w,3
2,Ines,w,3
2,Luise,w,3
2,Marie,w,3
2,Anh,m,3
2,Gerhard,m,3
2,Lâm,m,3
2,Nam,m,3
2,Paul,m,3
1,Abigail,w,1
1,Adelia,w,1
1,Adelina-Maria,w,1
1,Adna,w,1
1,Adriana,w,1
1,Afra,w,1
1,Agnes,w,1
1,Ahlia,w,1
1,Ai,w,1
1,Aida,w,1
1,Aila,w,1
1,Aiperi,w,1
1,Aischa,w,1
1,Ajla,w,1
1,Alegra,w,1
1,Alemgena,w,1
1,Alena,w,1
1,Alessa,w,1
1,Alexia,w,1
1,Aleyna-Hope,w,1
1,Alicia,w,1
1,Alicja,w,1
1,Alien,w,1
1,Alin,w,1
1,Aline,w,1
1,Alissa,w,1
1,Allison,w,1
1,Almila,w,1
1,Almina,w,1
1,Almuth,w,1
1,Alvi,w,1
1,Alyana,w,1
1,Amadeea,w,1
1,Amalia-Emma,w,1
1,Amalie,w,1
1,Amalya,w,1
1,Amana,w,1
1,Amani,w,1
1,Amany,w,1
1,Ameyali,w,1
1,Amicia,w,1
1,Amilya,w,1
1,Amsha,w,1
1,Amy-Rose,w,1
1,Amöne,w,1
1,An,w,1
1,Ana-Andrea,w,1
1,Ana,w,1
1,Anahid,w,1
1,Anastasia-Isabell,w,1
1,Andrea,w,1
1,Angel-Nika,w,1
1,Angelina,w,1
1,Anielda,w,1
1,Anikó,w,1
1,Anina,w,1
1,Anissa,w,1
1,Anita,w,1
1,Ann,w,1
1,Annabell,w,1
1,Annemarie,w,1
1,Annie,w,1
1,Annika,w,1
1,Anthea,w,1
1,Anuk,w,1
1,Arianna,w,1
1,Ariella,w,1
1,Arwen,w,1
1,Aryana-Beatrice,w,1
1,Asel,w,1
1,Asenat,w,1
1,Ashley,w,1
1,Asija,w,1
1,Asil,w,1
1,Asiya,w,1
1,Asmaa,w,1
1,Asta,w,1
1,Astrid,w,1
1,Asya,w,1
1,Ataina,w,1
1,Atheer,w,1
1,Atina,w,1
1,Atlanta,w,1
1,Audrey,w,1
1,Aura,w,1
1,Aurora-Mayra,w,1
1,Avienda,w,1
1,Awa,w,1
1,Aya,w,1
1,Ayan,w,1
1,Ayleen,w,1
1,Aylina,w,1
1,Aysha,w,1
1,Azya,w,1
1,Azzahra,w,1
1,Babetta,w,1
1,Bana,w,1
1,Beatrice,w,1
1,Beatriz,w,1
1,Behra,w,1
1,Benin,w,1
1,Bente,w,1
1,Berfin,w,1
1,Bertha,w,1
1,Bianca,w,1
1,Bianka,w,1
1,Biona,w,1
1,Briana,w,1
1,Brittany,w,1
1,Bruna,w,1
1,Brunhilda,w,1
1,Calliope,w,1
1,Camí,w,1
1,Carla-Ivana,w,1
1,Carlie,w,1
1,Cassy,w,1
1,Catelyn,w,1
1,Cecilia,w,1
1,Ceyda,w,1
1,Ceylin,w,1
1,Charlie,w,1
1,Charlot,w,1
1,Charly,w,1
1,Chiara,w,1
1,Chikamara,w,1
1,Chimamanda,w,1
1,Chimuasokam,w,1
1,Chloe,w,1
1,Chloé,w,1
1,Chrysanthi,w,1
1,Clea,w,1
1,Cleo-Sophie,w,1
1,Clèa,w,1
1,Colleen,w,1
1,Coralie,w,1
1,Cosima,w,1
1,Costina,w,1
1,Dahlia,w,1
1,Dalal,w,1
1,Dalila,w,1
1,Daliya,w,1
1,Dania,w,1
1,Dariya,w,1
1,Daryna,w,1
1,Davina,w,1
1,Dayanara,w,1
1,Delal,w,1
1,Delwin,w,1
1,Dima,w,1
1,Dimitra,w,1
1,Dlila,w,1
1,Dominika,w,1
1,Donya,w,1
1,Doria,w,1
1,Dorothea,w,1
1,Dua,w,1
1,Duaa,w,1
1,Eda,w,1
1,Eden,w,1
1,Edna,w,1
1,Egle,w,1
1,Eila,w,1
1,Eilyn,w,1
1,Ekram,w,1
1,Ela,w,1
1,Elahijot,w,1
1,Elaine,w,1
1,Elanur,w,1
1,Elaria,w,1
1,Elda,w,1
1,Eldana,w,1
1,Elea-Sophie,w,1
1,Elea,w,1
1,Elettra,w,1
1,Eleyna-Claudia,w,1
1,Elif,w,1
1,Eliora,w,1
1,Elisavet,w,1
